timestamp,MEXC_BTC/USDT_Ask,MEXC_BTC/USDT_Bid,Bybit_BTCUSDC_Ask,Bybit_BTCUSDC_Bid,Diff
2023-09-03 12:25:36,25913.65,25913.64,25915.04,25910.15,1.389999999999418
2023-09-03 12:25:38,25913.65,25913.64,25915.0,25910.42,1.3499999999985448
2023-09-03 12:25:39,25913.65,25913.64,25915.04,25910.05,1.389999999999418
2023-09-03 12:25:41,25913.65,25913.64,25915.04,25910.05,1.389999999999418
2023-09-03 12:25:42,25913.65,25913.64,25915.04,25910.31,1.389999999999418
2023-09-03 12:25:44,25913.65,25913.64,25915.04,25910.79,1.389999999999418
2023-09-03 12:25:46,25913.65,25913.64,25914.93,25911.15,1.2799999999988358
2023-09-03 12:25:48,25913.65,25913.64,25914.6,25911.28,0.9499999999970896
2023-09-03 12:25:49,25913.65,25913.64,25914.89,25911.35,1.2399999999979627
2023-09-03 12:25:52,25913.65,25913.64,25915.02,25911.37,1.3699999999989814
2023-09-03 12:25:53,25913.65,25913.64,25915.02,25911.37,1.3699999999989814
2023-09-03 12:25:55,25913.65,25913.64,25915.02,25911.37,1.3699999999989814
2023-09-03 12:25:57,25913.65,25913.64,25914.67,25911.37,1.0199999999967986
2023-09-03 12:25:59,25917.03,25917.02,25917.9,25914.47,0.8700000000026193
2023-09-03 12:26:00,25917.03,25917.02,25918.96,25914.7,1.930000000000291
2023-09-03 12:26:03,25917.03,25917.02,25918.86,25914.82,1.8300000000017462
2023-09-03 12:26:05,25917.03,25917.02,25918.94,25914.82,1.9099999999998545
2023-09-03 12:26:06,25917.03,25917.02,25918.92,25914.82,1.889999999999418
2023-09-03 12:26:08,25917.03,25917.02,25918.97,25914.82,1.9400000000023283
2023-09-03 12:26:10,25917.03,25917.02,25917.96,25914.82,0.930000000000291
2023-09-03 12:26:12,25917.03,25917.02,25917.78,25914.82,0.75
2023-09-03 12:26:14,25917.03,25917.02,25917.98,25914.83,0.9500000000007276
2023-09-03 12:26:17,25917.03,25917.02,25917.98,25914.83,0.9500000000007276
2023-09-03 12:26:18,25917.03,25917.02,25917.87,25914.82,0.8400000000001455
2023-09-03 12:26:20,25917.03,25917.02,25917.82,25914.83,0.7900000000008731
2023-09-03 12:26:21,25917.03,25917.02,25917.87,25914.82,0.8400000000001455
2023-09-03 12:26:23,25917.03,25917.02,25917.87,25914.83,0.8400000000001455
2023-09-03 12:26:25,25917.03,25917.02,25917.95,25914.84,0.9200000000018917
2023-09-03 12:26:27,25917.03,25917.02,25917.94,25914.84,0.9099999999998545
2023-09-03 12:26:29,25917.03,25917.02,25917.89,25914.82,0.8600000000005821
2023-09-03 12:26:30,25917.03,25917.02,25917.82,25914.82,0.7900000000008731
2023-09-03 12:26:32,25917.03,25917.02,25917.92,25914.84,0.8899999999994179
2023-09-03 12:26:33,25917.03,25917.02,25917.84,25914.85,0.8100000000013097
2023-09-03 12:26:35,25917.03,25917.02,25917.39,25914.84,0.3600000000005821
2023-09-03 12:26:37,25917.03,25917.02,25914.97,25912.0,-2.0599999999976717
2023-09-03 12:26:39,25917.03,25917.02,25915.08,25912.0,-1.9499999999970896
2023-09-03 12:26:40,25917.03,25917.02,25917.64,25913.79,0.6100000000005821
2023-09-03 12:26:42,25917.03,25917.02,25917.64,25913.79,0.6100000000005821
2023-09-03 12:26:43,25917.03,25917.02,25917.64,25913.8,0.6100000000005821
2023-09-03 12:26:45,25917.03,25917.02,25917.65,25913.8,0.6200000000026193
2023-09-03 12:26:46,25917.03,25917.02,25917.65,25913.8,0.6200000000026193
2023-09-03 12:26:48,25917.03,25917.02,25917.65,25913.8,0.6200000000026193
2023-09-03 12:26:51,25917.03,25917.02,25917.64,25913.8,0.6100000000005821
2023-09-03 12:26:52,25917.03,25917.02,25917.64,25913.81,0.6100000000005821
2023-09-03 12:26:55,25917.03,25917.02,25917.64,25913.81,0.6100000000005821
2023-09-03 12:26:56,25917.03,25917.02,25917.62,25913.82,0.5900000000001455
2023-09-03 12:26:58,25917.03,25917.02,25917.62,25913.82,0.5900000000001455
2023-09-03 12:26:59,25917.03,25917.02,25917.62,25913.82,0.5900000000001455
2023-09-03 12:27:01,25917.03,25917.02,25917.6,25913.83,0.569999999999709
2023-09-03 12:27:02,25917.03,25917.02,25917.6,25913.83,0.569999999999709
2023-09-03 12:27:04,25917.03,25917.02,25917.6,25913.83,0.569999999999709
2023-09-03 12:27:05,25917.03,25917.02,25917.6,25913.83,0.569999999999709
2023-09-03 12:27:07,25917.03,25917.02,25917.59,25913.84,0.5600000000013097
2023-09-03 12:27:09,25917.03,25917.02,25917.59,25913.84,0.5600000000013097
2023-09-03 12:27:10,25917.03,25917.02,25917.61,25913.85,0.5800000000017462
2023-09-03 12:27:12,25917.03,25917.02,25917.61,25913.85,0.5800000000017462
2023-09-03 12:27:15,25917.03,25917.02,25917.6,25913.85,0.569999999999709
2023-09-03 12:27:16,25917.03,25917.02,25917.61,25913.87,0.5800000000017462
2023-09-03 12:27:18,25917.03,25917.02,25917.61,25913.87,0.5800000000017462
2023-09-03 12:27:19,25917.03,25917.02,25917.59,25913.87,0.5600000000013097
2023-09-03 12:27:21,25917.03,25917.02,25917.59,25913.87,0.5600000000013097
2023-09-03 12:27:23,25917.03,25917.02,25917.58,25913.87,0.5500000000029104
2023-09-03 12:27:25,25917.03,25917.02,25917.58,25913.87,0.5500000000029104
2023-09-03 12:27:27,25917.03,25917.02,25917.58,25913.87,0.5500000000029104
2023-09-03 12:27:28,25917.03,25917.02,25917.58,25913.87,0.5500000000029104
2023-09-03 12:27:30,25917.03,25917.02,25917.58,25913.87,0.5500000000029104
2023-09-03 12:27:31,25917.03,25917.02,25917.58,25913.87,0.5500000000029104
2023-09-03 12:27:33,25917.03,25917.02,25917.58,25913.87,0.5500000000029104
2023-09-03 12:27:35,25917.03,25917.02,25917.58,25913.87,0.5500000000029104
2023-09-03 12:27:36,25917.03,25917.02,25917.58,25913.87,0.5500000000029104
2023-09-03 12:27:39,25917.03,25917.02,25917.58,25913.87,0.5500000000029104
2023-09-03 12:27:40,25917.03,25917.02,25917.58,25913.88,0.5500000000029104
2023-09-03 12:27:42,25917.03,25917.02,25917.58,25913.9,0.5500000000029104
2023-09-03 12:27:43,25917.03,25917.02,25917.58,25913.9,0.5500000000029104
2023-09-03 12:27:45,25917.03,25917.02,25917.58,25913.9,0.5500000000029104
2023-09-03 12:27:46,25917.03,25917.02,25917.58,25913.9,0.5500000000029104
