timestamp,Bybit_ETHUSDC_bid,Bybit_ETHUSDC_ask,Deribit_ETHPERPETUAL_bid,Deribit_ETHPERPETUAL_ask,Bitget_ETHPERPCMCBL_bid,Bitget_ETHPERPCMCBL_ask
2023-08-01 02:28:46,1826.41,1826.56,1827.1,1827.15,1825.54,1825.68
2023-08-01 02:29:17,1826.47,1826.59,1826.75,1826.8,1825.18,1825.32
2023-08-01 02:29:47,1826.21,1826.37,1826.75,1826.8,1825.12,1825.19
2023-08-01 02:30:18,1825.4,1825.58,1825.65,1825.7,1824.23,1824.37
2023-08-01 02:30:49,1827.43,1827.57,1827.5,1827.55,1825.66,1825.8
2023-08-01 02:31:19,1827.8,1827.92,1827.85,1827.9,1826.24,1826.38
2023-08-01 02:31:50,1826.25,1826.4,1826.55,1826.6,1824.91,1825.05
2023-08-01 02:32:21,1825.34,1825.55,1826.05,1826.1,1824.33,1824.47
2023-08-01 02:32:52,1826.03,1826.22,1826.55,1826.6,1824.79,1824.93
2023-08-01 02:33:22,1827.13,1827.27,1827.55,1827.6,1826.18,1826.32
2023-08-01 02:33:53,1827.23,1827.37,1827.55,1827.6,1826.18,1826.32
2023-08-01 02:34:24,1827.0,1827.01,1827.0,1827.05,1825.19,1825.33
2023-08-01 02:34:54,1826.84,1827.0,1826.9,1826.95,1825.17,1825.31
2023-08-01 02:35:25,1827.13,1827.27,1827.05,1827.1,1825.64,1826.25
2023-08-01 02:35:56,1826.88,1827.0,1827.25,1827.3,1825.78,1826.24
2023-08-01 02:36:27,1826.11,1826.27,1826.85,1826.9,1825.77,1825.92
2023-08-01 02:36:57,1826.26,1826.47,1826.3,1826.35,1825.77,1825.92
2023-08-01 02:37:28,1826.41,1826.57,1826.65,1826.7,1825.77,1825.92
2023-08-01 02:37:59,1826.8,1826.95,1827.05,1827.1,1825.91,1826.05
2023-08-01 02:38:29,1827.63,1827.77,1827.7,1827.75,1826.73,1826.87
2023-08-01 02:39:00,1827.62,1827.78,1827.7,1827.75,1826.73,1826.87
2023-08-01 02:39:31,1828.23,1828.38,1828.45,1828.5,1827.1,1827.24
2023-08-01 02:40:02,1827.87,1828.01,1828.25,1828.3,1827.1,1827.24
2023-08-01 02:40:32,1828.0,1828.09,1828.25,1828.3,1827.1,1827.24
2023-08-01 02:41:03,1827.94,1828.1,1828.25,1828.3,1826.91,1827.05
2023-08-01 02:41:34,1827.89,1828.14,1828.25,1828.3,1826.91,1827.05
2023-08-01 02:42:04,1827.68,1827.87,1828.25,1828.3,1826.91,1827.05
