,t,o
123,2022-07-18,"{'1m': 62.426571170118, '1w': 53.6375622753641, '1y': 68.9720407044246, '2w': 57.5873014637166, '3m': 74.7197659682449, '6m': 72.410525303116}"
124,2022-07-19,"{'1m': 58.856342070562, '1w': 48.8410868898321, '1y': 69.107202866319, '2w': 59.1609874211058, '3m': 74.9373030720467, '6m': 72.7351708496882}"
125,2022-07-20,"{'1m': 58.0696140944532, '1w': 49.4800487096325, '1y': 69.1762104018791, '2w': 63.0405129880929, '3m': 75.7915029193172, '6m': 73.1443356005915}"
126,2022-07-21,"{'1m': 58.240030346665, '1w': 60.923839835096, '1y': 69.0182061701496, '2w': 64.9859756010745, '3m': 75.9051038744779, '6m': 72.1925120803164}"
127,2022-07-22,"{'1m': 56.8160152546514, '1w': 60.758902635336, '1y': 68.9361971668193, '2w': 61.1879495374979, '3m': 75.73894991485341, '6m': 71.2415196592488}"
128,2022-07-23,"{'1m': 57.7408193838614, '1w': 67.6900638862167, '1y': 68.9919888204036, '2w': 63.3838527385874, '3m': 75.8769845549022, '6m': 71.3111489376139}"
129,2022-07-24,"{'1m': 57.2922173646296, '1w': 67.1005554193408, '1y': 68.8731703744854, '2w': 62.1861031283688, '3m': 75.9733062084572, '6m': 71.1863603950578}"
130,2022-07-25,"{'1m': 58.4031116578957, '1w': 68.929006029676, '1y': 68.923592181371, '2w': 62.1595791652977, '3m': 76.091970522066, '6m': 70.9353503364684}"
131,2022-07-26,"{'1m': 60.2946353664396, '1w': 65.1536255196439, '1y': 68.1348284365935, '2w': 63.521891849881, '3m': 75.9684659674296, '6m': 71.011352732493}"
132,2022-07-27,"{'1m': 61.6851406460161, '1w': 58.2345896131994, '1y': 68.1946789044165, '2w': 65.2970578937504, '3m': 76.2063909388715, '6m': 71.1366087638925}"
133,2022-07-28,"{'1m': 66.3634634171, '1w': 79.731321673018, '1y': 68.3623858080403, '2w': 72.600037321653, '3m': 77.7497899155344, '6m': 71.8987463072264}"
134,2022-07-29,"{'1m': 65.8836522054204, '1w': 81.1686559977346, '1y': 68.4300953587991, '2w': 72.4427717852992, '3m': 77.9837829343251, '6m': 71.9655287557031}"
135,2022-07-30,"{'1m': 63.6539192133217, '1w': 77.0713720376043, '1y': 68.4160430649117, '2w': 72.5452620690132, '3m': 78.0326468878775, '6m': 71.9905279083352}"
136,2022-07-31,"{'1m': 63.1009653793173, '1w': 77.9828203333152, '1y': 68.2210649326499, '2w': 72.7886474553619, '3m': 77.6570011681607, '6m': 71.9599432760664}"
137,2022-08-01,"{'1m': 63.6308309027626, '1w': 75.8075267734844, '1y': 68.2452328842475, '2w': 72.7073874729611, '3m': 77.7119970969362, '6m': 71.8715965072709}"
138,2022-08-02,"{'1m': 63.2579102273843, '1w': 67.2206506289523, '1y': 68.1067837206338, '2w': 69.5021981337947, '3m': 77.6154833502242, '6m': 71.8350098213981}"
139,2022-08-03,"{'1m': 63.299931403664, '1w': 63.1643052735958, '1y': 68.0636494646746, '2w': 64.1874948837571, '3m': 77.6918295109112, '6m': 71.710031260763}"
140,2022-08-04,"{'1m': 63.5704351376026, '1w': 39.7403241789202, '1y': 68.0476080476036, '2w': 63.1488084928219, '3m': 77.5525050198364, '6m': 71.2454983906276}"
141,2022-08-05,"{'1m': 62.6025521465171, '1w': 33.4991251412642, '1y': 68.0053578277983, '2w': 62.7319094631667, '3m': 76.9503260607975, '6m': 70.3099021551283}"
142,2022-08-06,"{'1m': 62.3223557552678, '1w': 32.075913587491, '1y': 67.812981854046, '2w': 60.5855907403255, '3m': 75.8799142223316, '6m': 70.3234646813833}"
143,2022-08-07,"{'1m': 61.5919376134453, '1w': 30.669952240188, '1y': 67.5651138182797, '2w': 60.1150899115065, '3m': 75.8695556189252, '6m': 70.0777181168444}"
144,2022-08-08,"{'1m': 60.0985900897144, '1w': 34.9285288922017, '1y': 67.6078540994143, '2w': 59.1787589861788, '3m': 75.9263806910846, '6m': 70.1115830695073}"
145,2022-08-09,"{'1m': 60.8213030971694, '1w': 39.4063345933717, '1y': 67.5804210425923, '2w': 55.8661416750463, '3m': 75.178663758508, '6m': 70.1739874896727}"
146,2022-08-10,"{'1m': 61.1123620984037, '1w': 44.9173207599386, '1y': 67.5651766933899, '2w': 55.3937450486898, '3m': 74.7192710443028, '6m': 70.280662353989}"
147,2022-08-11,"{'1m': 61.5160796216547, '1w': 50.6855659418024, '1y': 67.7110716042024, '2w': 46.936436299535, '3m': 74.9397272802534, '6m': 70.5334123842812}"
148,2022-08-12,"{'1m': 60.4400922405414, '1w': 53.6473229578313, '1y': 67.6668912956242, '2w': 45.8156811165528, '3m': 73.1845146072142, '6m': 70.5243996862859}"
149,2022-08-13,"{'1m': 60.1674087777676, '1w': 54.7317518143453, '1y': 67.5778184042515, '2w': 46.5612162253304, '3m': 72.0008050279522, '6m': 70.6156333105935}"
150,2022-08-14,"{'1m': 59.5332682364256, '1w': 54.3405232480922, '1y': 67.4923035961992, '2w': 45.7169504285641, '3m': 71.7148163801365, '6m': 70.6147620159809}"
